id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-012,Braixen,012,Common,,2026-07-25T08:03:03.827Z,EUR,886404,0.03,0.02,0.03,0.03,0.03,0.03,0.09,0.02,0.08,0.1,0.09,0.09,2026-07-25T08:03:02.306Z,USD,693457.0,0.01,0.25,45.0,0.21,0.24,693457.0,0.01,0.15,6.99,0.14,0.01,,,,,,
me04-013,Delphox,013,Rare,,2026-07-25T08:03:03.827Z,EUR,888552,1.45,0.5,1.81,1.99,1.75,1.49,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,693473.0,0.01,0.26,10.0,0.27,0.25,,,,,,,693473.0,0.01,0.2,10.0,0.15,0.07
me04-014,Litleo,014,Common,,2026-07-25T08:03:03.827Z,EUR,886406,0.02,0.02,0.03,0.03,0.03,0.02,0.06,0.02,0.06,0.07,0.06,0.06,2026-07-25T08:03:02.306Z,USD,693505.0,0.01,0.2,6.99,0.18,0.07,693505.0,0.01,0.13,6.99,0.12,0.01,,,,,,
me04-015,Mega Pyroar ex,015,Double rare,,2026-07-25T08:03:04.261Z,EUR,886407,0.43,0.08,0.41,0.38,0.41,0.43,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693519.0,0.04,0.67,125.0,0.62,0.83
me04-016,Remoraid,016,Common,,2026-07-25T08:03:03.827Z,EUR,886408,0.02,0.02,0.02,0.02,0.03,0.02,0.07,0.02,0.07,0.11,0.07,0.06,2026-07-25T08:03:02.306Z,USD,693539.0,0.01,0.23,6.99,0.26,0.12,693539.0,0.01,0.15,6.99,0.14,0.01,,,,,,
me04-017,Octillery,017,Common,,2026-07-25T08:03:03.827Z,EUR,886409,0.02,0.02,0.03,0.02,0.03,0.02,0.08,0.02,0.09,0.08,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693528.0,0.01,0.23,6.99,0.23,0.14,693528.0,0.01,0.15,6.99,0.07,0.01,,,,,,
me04-018,Delibird,018,Uncommon,,2026-07-25T08:03:03.827Z,EUR,886410,0.02,0.02,0.02,0.02,0.03,0.02,0.08,0.02,0.08,0.12,0.09,0.08,2026-07-25T08:03:02.306Z,USD,693472.0,0.01,0.24,11.0,0.24,0.23,693472.0,0.01,0.13,6.99,0.07,0.01,,,,,,
me04-019,Keldeo,019,Rare,,2026-07-25T08:03:03.827Z,EUR,886411,0.05,0.02,0.05,0.03,0.04,0.05,0.1,0.02,0.09,0.07,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693503.0,0.01,0.25,6.99,0.27,0.25,,,,,,,693503.0,0.01,0.16,6.99,0.13,0.01
me04-020,Froakie,020,Common,,2026-07-25T08:03:03.827Z,EUR,886412,0.05,0.02,0.03,0.03,0.04,0.05,0.1,0.02,0.09,0.11,0.14,0.1,2026-07-25T08:03:02.306Z,USD,693488.0,0.01,0.26,6.99,0.28,0.18,693488.0,0.01,0.17,2.99,0.15,0.12,,,,,,
me04-021,Frogadier,021,Common,,2026-07-25T08:03:04.261Z,EUR,886413,0.06,0.02,0.04,0.03,0.04,0.06,0.12,0.02,0.11,0.09,0.14,0.12,2026-07-25T08:03:02.306Z,USD,693490.0,0.01,0.3,6.99,0.39,1.71,693490.0,0.01,0.18,12.0,0.15,0.07,,,,,,
me04-022,Mega Greninja ex,022,Double rare,,2026-07-25T08:03:04.261Z,EUR,886414,1.67,0.8,1.31,1.38,1.48,1.71,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693515.0,0.4,1.4,90.0,1.1,1.26
me04-023,Bergmite,023,Common,,2026-07-25T08:03:04.261Z,EUR,886415,0.02,0.02,0.02,0.02,0.03,0.03,0.07,0.02,0.06,0.09,0.06,0.07,2026-07-25T08:03:02.306Z,USD,693456.0,0.01,0.2,6.99,0.15,0.07,693456.0,0.01,0.15,6.99,0.11,0.01,,,,,,
me04-024,Avalugg,024,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886416,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.08,0.09,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693448.0,0.01,0.24,6.99,0.28,0.1,693448.0,0.01,0.15,6.99,0.09,0.01,,,,,,
me04-025,Wimpod,025,Common,,2026-07-25T08:03:03.827Z,EUR,886417,0.04,0.02,0.02,0.02,0.02,0.04,0.06,0.02,0.06,0.08,0.06,0.06,2026-07-25T08:03:02.306Z,USD,693562.0,0.01,0.2,6.99,0.2,0.05,693562.0,0.01,0.14,6.99,0.1,0.01,,,,,,
me04-026,Golisopod,026,Uncommon,,2026-07-25T08:03:03.827Z,EUR,886418,0.02,0.02,0.03,0.03,0.02,0.02,0.09,0.02,0.09,0.14,0.1,0.08,2026-07-25T08:03:02.306Z,USD,693494.0,0.01,0.24,6.99,0.24,0.22,693494.0,0.01,0.15,6.99,0.14,0.01,,,,,,
me04-027,Mareep,027,Common,,2026-07-25T08:03:04.261Z,EUR,886419,0.03,0.02,0.03,0.02,0.02,0.03,0.08,0.02,0.07,0.08,0.07,0.08,2026-07-25T08:03:02.306Z,USD,693507.0,0.01,0.21,6.99,0.18,0.07,693507.0,0.01,0.15,6.99,0.11,0.01,,,,,,
me04-028,Flaaffy,028,Common,,2026-07-25T08:03:03.827Z,EUR,886420,0.03,0.02,0.03,0.04,0.03,0.03,0.08,0.02,0.08,0.08,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693487.0,0.01,0.24,6.99,0.24,0.1,693487.0,0.01,0.15,6.99,0.09,0.01,,,,,,
me04-029,Ampharos,029,Rare,,2026-07-25T08:03:04.261Z,EUR,888542,1.36,0.44,1.54,2.48,2.08,1.36,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,693445.0,0.01,0.25,6.99,0.24,0.25,,,,,,,693445.0,0.01,0.2,6.99,0.19,0.07
me04-030,Emolga,030,Common,,2026-07-25T08:03:04.261Z,EUR,886422,0.02,0.02,0.02,0.03,0.02,0.02,0.09,0.02,0.09,0.11,0.09,0.09,2026-07-25T08:03:02.306Z,USD,693481.0,0.01,0.24,6.99,0.28,0.2,693481.0,0.01,0.15,6.99,0.08,0.01,,,,,,
me04-031,Deoxys,031,Uncommon,,2026-07-25T08:03:03.827Z,EUR,886423,0.03,0.02,0.03,0.07,0.04,0.03,0.09,0.02,0.1,0.14,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693474.0,0.01,0.25,6.99,0.36,0.25,693474.0,0.01,0.15,6.99,0.13,0.01,,,,,,
me04-032,Deoxys,032,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886424,0.03,0.02,0.04,0.02,0.04,0.03,0.1,0.02,0.11,0.13,0.12,0.1,2026-07-25T08:03:02.306Z,USD,693475.0,0.01,0.27,6.99,0.27,0.25,693475.0,0.01,0.15,6.99,0.11,0.01,,,,,,
me04-033,Deoxys,033,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886425,0.03,0.02,0.03,0.02,0.03,0.03,0.1,0.02,0.09,0.08,0.09,0.1,2026-07-25T08:03:02.306Z,USD,693476.0,0.03,0.25,6.99,0.24,0.25,693476.0,0.01,0.15,15.0,0.09,0.01,,,,,,
me04-034,Deoxys,034,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886426,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.1,0.08,0.11,0.09,2026-07-25T08:03:02.306Z,USD,693477.0,0.01,0.25,6.99,0.24,0.18,693477.0,0.01,0.15,6.99,0.1,0.01,,,,,,
me04-035,Mega Floette ex,035,Double rare,,2026-07-25T08:03:03.827Z,EUR,886427,0.5,0.09,0.49,0.64,0.5,0.5,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693511.0,0.1,0.73,19.99,0.58,0.89
me04-036,Espurr,036,Common,,2026-07-25T08:03:04.261Z,EUR,886428,0.03,0.02,0.03,0.06,0.04,0.03,0.09,0.02,0.1,0.1,0.09,0.09,2026-07-25T08:03:02.306Z,USD,693483.0,0.01,0.25,6.99,0.26,0.21,693483.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-037,Meowstic,037,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886429,0.03,0.02,0.03,0.03,0.03,0.02,0.08,0.02,0.1,0.13,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693521.0,0.01,0.25,6.99,0.3,0.23,693521.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-038,Phantump,038,Common,,2026-07-25T08:03:03.827Z,EUR,886430,0.03,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.08,0.09,0.09,0.08,2026-07-25T08:03:02.306Z,USD,693531.0,0.01,0.24,48.0,0.24,0.21,693531.0,0.01,0.15,25.0,0.15,0.01,,,,,,
me04-039,Trevenant,039,Rare,,2026-07-25T08:03:04.261Z,EUR,886431,0.04,0.02,0.04,0.03,0.04,0.04,0.09,0.02,0.09,0.09,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693556.0,0.01,0.24,6.99,0.25,0.21,,,,,,,693556.0,0.01,0.17,6.99,0.14,0.05
me04-040,Pumpkaboo,040,Common,,2026-07-25T08:03:04.624Z,EUR,886432,0.03,0.02,0.02,0.03,0.02,0.02,0.09,0.02,0.1,0.1,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693536.0,0.01,0.22,6.99,0.19,0.07,693536.0,0.01,0.15,6.99,0.13,0.01,,,,,,
me04-041,Gourgeist ex,041,Double rare,,2026-07-25T08:03:04.261Z,EUR,886433,0.36,0.02,0.35,0.28,0.33,0.35,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693497.0,0.02,0.6,26.0,0.49,1.21
me04-042,Xerneas,042,Rare,,2026-07-25T08:03:04.302Z,EUR,886434,0.05,0.02,0.05,0.03,0.06,0.05,0.1,0.02,0.09,0.13,0.1,0.1,2026-07-25T08:03:02.306Z,USD,693563.0,0.01,0.25,6.99,0.22,0.21,,,,,,,693563.0,0.01,0.18,6.99,0.17,0.08
me04-043,Sudowoodo,043,Uncommon,,2026-07-25T08:03:03.827Z,EUR,886435,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.08,0.07,0.09,0.08,2026-07-25T08:03:02.306Z,USD,693550.0,0.01,0.21,6.99,0.21,0.12,693550.0,0.01,0.13,6.99,0.08,0.01,,,,,,
me04-044,Phanpy,044,Common,,2026-07-25T08:03:03.827Z,EUR,886436,0.03,0.02,0.03,0.03,0.03,0.02,0.08,0.02,0.09,0.11,0.08,0.09,2026-07-25T08:03:02.306Z,USD,693530.0,0.01,0.23,6.99,0.25,0.12,693530.0,0.01,0.15,6.99,0.14,0.01,,,,,,
me04-045,Donphan,045,Common,,2026-07-25T08:03:04.624Z,EUR,886437,0.03,0.02,0.02,0.03,0.03,0.02,0.08,0.02,0.08,0.13,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693478.0,0.01,0.22,6.99,0.23,0.2,693478.0,0.01,0.14,6.99,0.09,0.01,,,,,,
me04-046,Baltoy,046,Common,,2026-07-25T08:03:03.827Z,EUR,886438,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.07,0.07,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693452.0,0.01,0.24,6.99,0.24,0.22,693452.0,0.01,0.13,6.99,0.07,0.01,,,,,,
me04-047,Claydol,047,Uncommon,,2026-07-25T08:03:03.827Z,EUR,886439,0.02,0.02,0.03,0.02,0.02,0.02,0.08,0.02,0.08,0.1,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693466.0,0.01,0.21,10.0,0.25,0.19,693466.0,0.01,0.14,6.99,0.09,0.01,,,,,,
me04-048,Mega Gallade ex,048,Double rare,,2026-07-25T08:03:04.261Z,EUR,886440,0.43,0.03,0.42,0.41,0.44,0.43,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693514.0,0.1,0.7,9.99,0.63,0.7
me04-049,Zubat,049,Common,,2026-07-25T08:03:03.827Z,EUR,886441,0.02,0.02,0.03,0.04,0.02,0.02,0.09,0.02,0.09,0.11,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693565.0,0.01,0.25,6.99,0.25,0.12,693565.0,0.01,0.16,6.99,0.16,0.02,,,,,,
me04-050,Golbat,050,Common,,2026-07-25T08:03:03.827Z,EUR,886442,0.02,0.02,0.03,0.02,0.03,0.02,0.09,0.02,0.09,0.16,0.11,0.09,2026-07-25T08:03:02.306Z,USD,693493.0,0.01,0.24,6.99,0.27,0.22,693493.0,0.01,0.15,6.99,0.13,0.02,,,,,,
me04-051,Crobat,051,Rare,,2026-07-25T08:03:03.827Z,EUR,888531,1.55,0.2,1.68,2.0,2.1,1.59,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,693470.0,0.01,0.25,6.99,0.27,0.25,,,,,,,693470.0,0.01,0.17,6.99,0.17,0.05
me04-052,Qwilfish,052,Common,,2026-07-25T08:03:03.827Z,EUR,886444,0.03,0.02,0.02,0.03,0.02,0.02,0.08,0.02,0.09,0.1,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693538.0,0.01,0.25,6.99,0.26,0.25,693538.0,0.01,0.17,6.99,0.18,0.01,,,,,,
me04-053,Stunky,053,Common,,2026-07-25T08:03:03.827Z,EUR,886445,0.03,0.02,0.03,0.03,0.02,0.03,0.08,0.02,0.08,0.09,0.09,0.08,2026-07-25T08:03:02.306Z,USD,693549.0,0.01,0.25,6.99,0.27,0.25,693549.0,0.01,0.15,6.99,0.15,0.01,,,,,,
me04-054,Skuntank,054,Uncommon,,2026-07-25T08:03:03.827Z,EUR,886446,0.02,0.02,0.03,0.02,0.02,0.02,0.08,0.02,0.07,0.1,0.07,0.09,2026-07-25T08:03:02.306Z,USD,693544.0,0.01,0.22,6.99,0.24,0.16,693544.0,0.01,0.13,6.99,0.1,0.01,,,,,,
me04-055,Krookodile ex,055,Double rare,,2026-07-25T08:03:03.827Z,EUR,886447,0.36,0.02,0.37,0.3,0.35,0.36,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693504.0,0.14,0.59,25.0,0.58,0.75
me04-056,Trubbish,056,Common,,2026-07-25T08:03:04.261Z,EUR,886448,0.03,0.02,0.02,0.04,0.02,0.03,0.08,0.02,0.08,0.08,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693557.0,0.02,0.25,6.99,0.25,0.12,693557.0,0.01,0.15,6.99,0.12,0.01,,,,,,
me04-057,Garbodor,057,Uncommon,,2026-07-25T08:03:04.302Z,EUR,886449,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.08,0.08,0.09,0.08,2026-07-25T08:03:02.306Z,USD,693492.0,0.01,0.24,6.99,0.23,0.24,693492.0,0.01,0.15,7.0,0.08,0.01,,,,,,
me04-058,Skrelp,058,Common,,2026-07-25T08:03:03.827Z,EUR,886450,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.09,0.07,0.07,0.08,2026-07-25T08:03:02.306Z,USD,693543.0,0.01,0.25,19.0,0.28,0.25,693543.0,0.01,0.15,6.99,0.11,0.01,,,,,,
me04-059,Beldum,059,Common,,2026-07-25T08:03:04.261Z,EUR,886451,0.04,0.02,0.04,0.06,0.05,0.04,0.08,0.02,0.09,0.08,0.09,0.08,2026-07-25T08:03:02.306Z,USD,693455.0,0.01,0.23,6.99,0.23,0.12,693455.0,0.01,0.19,1.6,0.19,0.04,,,,,,
me04-060,Metang,060,Common,,2026-07-25T08:03:04.261Z,EUR,886452,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.02,0.08,0.09,0.07,0.07,2026-07-25T08:03:02.306Z,USD,693523.0,0.01,0.23,6.99,0.25,0.2,693523.0,0.01,0.15,6.99,0.17,0.01,,,,,,
me04-061,Metagross,061,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886453,0.05,0.02,0.05,0.07,0.06,0.05,0.12,0.02,0.12,0.1,0.13,0.12,2026-07-25T08:03:02.306Z,USD,693522.0,0.01,0.3,6.99,0.43,0.58,693522.0,0.01,0.2,2.99,0.19,0.16,,,,,,
me04-062,Ferroseed,062,Common,,2026-07-25T08:03:04.624Z,EUR,886454,0.02,0.02,0.03,0.02,0.02,0.02,0.07,0.02,0.07,0.07,0.07,0.06,2026-07-25T08:03:02.306Z,USD,693485.0,0.01,0.2,6.99,0.22,0.1,693485.0,0.01,0.12,6.99,0.05,0.01,,,,,,
me04-063,Ferrothorn,063,Uncommon,,2026-07-25T08:03:04.302Z,EUR,886455,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.02,0.08,0.08,0.07,0.08,2026-07-25T08:03:02.306Z,USD,693486.0,0.01,0.22,6.99,0.21,0.1,693486.0,0.01,0.12,6.99,0.09,0.01,,,,,,
me04-064,Cobalion ex,064,Double rare,,2026-07-25T08:03:03.827Z,EUR,886456,0.35,0.02,0.31,0.3,0.32,0.35,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693468.0,0.04,0.58,40.0,0.62,0.89
me04-065,Mega Dragalge ex,065,Double rare,,2026-07-25T08:03:04.261Z,EUR,886457,0.49,0.05,0.43,0.46,0.47,0.49,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693508.0,0.08,0.75,65.0,0.64,0.89
me04-066,Goomy,066,Common,,2026-07-25T08:03:04.261Z,EUR,886458,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.02,0.06,0.09,0.07,0.07,2026-07-25T08:03:02.306Z,USD,693496.0,0.01,0.21,6.99,0.22,0.12,693496.0,0.01,0.15,6.99,0.1,0.01,,,,,,
me04-067,Sliggoo,067,Common,,2026-07-25T08:03:04.397Z,EUR,886459,0.02,0.02,0.02,0.02,0.03,0.02,0.09,0.02,0.09,0.08,0.1,0.08,2026-07-25T08:03:02.306Z,USD,693545.0,0.01,0.22,6.99,0.21,0.15,693545.0,0.01,0.15,6.99,0.14,0.01,,,,,,
me04-068,Goodra,068,Rare,,2026-07-25T08:03:04.261Z,EUR,888530,1.6,0.06,1.87,1.99,1.99,1.6,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,693495.0,0.01,0.25,6.99,0.27,0.24,,,,,,,693495.0,0.01,0.19,6.99,0.2,0.1
me04-069,Tauros,069,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886461,0.02,0.02,0.03,0.02,0.03,0.02,0.09,0.02,0.09,0.09,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693552.0,0.01,0.22,6.99,0.22,0.2,693552.0,0.01,0.15,6.99,0.14,0.01,,,,,,
me04-070,Patrat,070,Common,,2026-07-25T08:03:04.397Z,EUR,886462,0.04,0.02,0.05,0.05,0.05,0.04,0.09,0.02,0.08,0.12,0.1,0.09,2026-07-25T08:03:02.306Z,USD,693529.0,0.01,0.22,6.99,0.23,0.21,693529.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-071,Watchog,071,Common,,2026-07-25T08:03:04.261Z,EUR,886463,0.03,0.02,0.03,0.03,0.02,0.02,0.08,0.02,0.09,0.2,0.1,0.08,2026-07-25T08:03:02.306Z,USD,693559.0,0.01,0.21,6.99,0.23,0.1,693559.0,0.01,0.13,6.99,0.08,0.01,,,,,,
me04-072,Minccino,072,Common,,2026-07-25T08:03:04.261Z,EUR,886464,0.03,0.02,0.02,0.03,0.03,0.03,0.09,0.02,0.1,0.09,0.09,0.09,2026-07-25T08:03:02.306Z,USD,693525.0,0.01,0.25,25.0,0.27,0.1,693525.0,0.01,0.15,6.99,0.15,0.01,,,,,,
me04-073,Cinccino ex,073,Double rare,,2026-07-25T08:03:04.261Z,EUR,886465,0.42,0.02,0.38,0.41,0.39,0.42,,,0.0,,,,2026-07-25T08:03:02.306Z,USD,,,,,,,,,,,,,693463.0,0.05,0.75,32.5,0.69,0.92
me04-074,Adversity Policy,074,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886466,0.03,0.02,0.02,0.02,0.02,0.03,0.1,0.02,0.09,0.05,0.11,0.1,2026-07-25T08:03:02.306Z,USD,693444.0,0.01,0.22,6.99,0.23,0.12,693444.0,0.01,0.13,6.99,0.12,0.01,,,,,,
me04-075,Ange Floette,075,Uncommon,,2026-07-25T08:03:04.302Z,EUR,886467,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.09,0.12,0.08,0.08,2026-07-25T08:03:02.306Z,USD,693447.0,0.01,0.25,6.99,0.25,0.25,693447.0,0.01,0.15,7.0,0.15,0.01,,,,,,
me04-076,AZ's Tranquility,076,Uncommon,,2026-07-25T08:03:04.302Z,EUR,886468,0.04,0.02,0.05,0.08,0.05,0.04,0.11,0.02,0.11,0.08,0.11,0.11,2026-07-25T08:03:02.306Z,USD,693449.0,0.01,0.23,6.99,0.21,0.15,693449.0,0.01,0.16,16.0,0.11,0.05,,,,,,
me04-077,Emma,077,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886470,0.03,0.02,0.02,0.02,0.05,0.03,0.09,0.02,0.09,0.13,0.12,0.09,2026-07-25T08:03:02.306Z,USD,693479.0,0.01,0.24,6.99,0.23,0.17,693479.0,0.01,0.15,6.99,0.13,0.01,,,,,,
me04-078,Great Haul Net,078,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886469,0.05,0.02,0.05,0.06,0.05,0.05,0.1,0.02,0.09,0.07,0.1,0.1,2026-07-25T08:03:02.306Z,USD,693499.0,0.01,0.25,6.99,0.24,0.1,693499.0,0.01,0.17,2.99,0.14,0.06,,,,,,
me04-079,Philippe,079,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886471,0.04,0.02,0.04,0.05,0.05,0.04,0.09,0.02,0.11,0.08,0.11,0.09,2026-07-25T08:03:02.306Z,USD,693532.0,0.01,0.24,6.99,0.22,0.07,693532.0,0.01,0.15,1.99,0.07,0.01,,,,,,
me04-080,Prism Tower,080,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886472,0.07,0.02,0.07,0.06,0.08,0.07,0.13,0.02,0.14,0.08,0.14,0.13,2026-07-25T08:03:02.306Z,USD,693534.0,0.01,0.31,6.99,0.36,0.7,693534.0,0.01,0.18,12.0,0.18,0.12,,,,,,
me04-081,Roxie's Performance,081,Uncommon,,2026-07-25T08:03:04.261Z,EUR,886473,0.04,0.02,0.04,0.05,0.03,0.04,0.11,0.02,0.13,0.16,0.12,0.11,2026-07-25T08:03:02.306Z,USD,693540.0,0.01,0.24,6.99,0.24,0.25,693540.0,0.01,0.15,6.99,0.11,0.01,,,,,,
